,Title,views,views_preds
6,Samsung S23 Ultra vs iPhone 14 Pro Max Camera Battle!,5817349,92809.05555555555
1215,LG G3 Full Review - 2014's Best SmartPhone?,4501,69770.78333333333
1176,MASSIVE iPad Mini 3 GIVEAWAY (CTNTechnologynews Collab) November-December 2014,4176,67460.48277777777
169,I bought the strangest smartphones ever.,12761260,8719968.762222221
1167,iPhone 7 Parody!,239049,146213.36666666667
150,Zenfone 8 - The most boring INCREDIBLE phone ever.,3913519,3381264.32
928,My Top 5 Best Review Channels on Youtube! (Mrwhosetheboss Reviewing Competition 2.0 Winners),14173,133922.8111111111
39,I tested 9 Gadgets that Think Different.,5188475,8369562.6155555565
1306,New Great Little War Game 2 (2014) Android Gameplay Review!,4755,56065.12333333334
1257,TP-Link AV500 Nano Powerline Adapter Starter Kit Review,41581,47640.72
876,Galaxy S7 Edge FINAL Review!,154583,160494.52
795,TOP BUDGET TECH - FEBRUARY 2017 - $50,64966,678003.9333333333
143,How many Spy Cameras are Recording you right now?,5730440,2849946.0933333333
1066,Best Android Apps and Games July - August 2015!,19129,34844.12711111111
700,5 TERRIFYING Things your Smartphone can do!,866111,851266.4
377,World's first REAL Wireless Charger.,1467648,1356269.14
144,Who has the WORST Customer Service?,5778987,4623147.56
650,Google Pixel 2 XL - 5 Ultimate Reasons you NEED one!,182308,334637.8177777778
289,25 Questions with MKBHD,4911126,2001827.8733333333
547,The Truth about Google?,154767,821309.3066666666
1020,Divoom Aurabox Wireless Speaker Review | 4K,89515,8507.930555555557
1207,Sardine Nizhi SDY 019 HiFi Wireless Speaker Unboxing!,19364,87970.57777777778
1357,$20 Replica SMS Street Earphones Unboxing!,3464,40263.21444444444
110,19 TOXIC Tech Fails that will last Forever.,12315929,6756705.446666666
690,Samsung Galaxy Note 8 EXTREME Camera Test.,412137,462804.92
792,5 Smartphone Hacks (#3),101940,277587.08
1268,Best iOS Games and Apps July-August 2014 iPad iPhone iPod Touch,17989,54304.508888888886
1425,Samsung Galaxy S4 for £150???  Follow up Review of THL W8 pandawill.com,12489,678785.06
510,MYSTERY Package from Xiaomi - MASSIVE UNBOXING!,378541,1691963.6933333334
1316,Why you should buy the PS Vita Slim!,350210,59579.513333333336
727,Take DSLR Quality video on a BUDGET Smartphone!,382333,719363.24
1313,Monster Hunter 4 Ultimate 3DS XL Gameplay Trailer E3 2014-2015  (MH4U),10157,112738.04
1386,Top 5 3DS Games (2014-2015) HD,113188,84763.60666666667
975,My Favourite Smartphone (2015),17943,115939.59333333334
174,Samsung Galaxy S21 Ultra vs iPhone 12 Pro Max Camera Test Comparison.,11968721,7652383.48
133,How Tech Companies Manipulate the Media ft. MKBHD,5994808,4782511.053333334
1352,Monster Hunter on PC - Ultra HD Gaming! UK US,40281,70589.40666666666
1018,Nvidia Grid Review | 4K,10117,42510.161555555555
528,The most Beautiful Android Games you've never played.,713919,689510.6333333333
836,MY GIRLFRIEND??  MRWHOSETHEBOSS Q&A 3.0!,296833,533992.995
754,FAKE Galaxy Note 8 Unboxing and Review!,127678,215663.88
1397,Rayman Legends vs Rayman Fiesta Run!  PS Vita vs Mobile!,9359,83407.72666666667
879,Best Android Apps - September 2016!,338985,224802.44666666666
671,Xiaomi Redmi Note 5A Review - The Next Generation?,424006,948728.3911111113
1170,The Future of PS Vita in 2015!,221329,442528.64666666667
296,I bought every iPhone ever.,16427120,5391950.5
627,7 Smartphone Life Hacks YOU SHOULD KNOW!,642373,362440.0333333333
739,What you DIDN'T know about the iPhone 8.,46782,486967.76
441,OnePlus 6T vs iPhone XR / XS vs Mate 20 Pro vs Note 9 Battery Life DRAIN TEST,1194809,826620.8666666667
1295,Cubot GT99 Review - One month Later! (DHGate),2029,74595.36666666667
1460,BEST IPAD ALTERNATIVE FULL REVIEW!,24191,24056.47
74,I tested the Best $5 Gadgets Ever.,5309119,3211770.5733333332
294,The Ultimate iPhone 11 Pro Camera.,4087963,4679345.086666667
1283,Ratchet and Clank 1 PS Vita HD Trilogy Collection First impressions Gameplay Review,115261,81585.68222222221
1177,The Best Projector for 2015!,41841,37705.99333333333
94,The Samsung Smartphone Scandal: Explained,3460335,5594105.543333333
1181,Uhappy UP520 Smartphone 5.0 QHD Android 4.4 Quad Core Unboxing! - Newfrog.com,13592,44226.21333333333
908,The Best BUDGET Phone You've Never Heard Of (2016),40482,188785.06444444446
584,The Most Bizarre Smartphone we've seen all year.,1095902,5341006.542222221
1382,NEXT-GEN iPHONE AIR: THE 5 BEST CONCEPT TRAILERS 2014-2015 HD!,3370,190273.08666666667
917,Playstation 5 / 4.5 Games: Explained!,129101,452882.19
1301,Best PS4 Games it Needs! (2014 - 2015 - 2016 - 2017),7063,82505.04666666666
1014,Hammo S Headphones Review - Fashion meets HiFi | 4K,3981,40921.54
371,The Huawei P30 Pro camera can see in the Dark.,799915,1928590.3666666667
72,I bought the STRANGEST TECH on the Internet.,10554344,3373426.070222222
785,Huawei P10 First Impressions Review,46529,187097.65925925926
1206,New Super Smash Bros. 3DS XL Gameplay!,10749,92689.05888888889
1043,What's on My Android Phone? (August 2015),26784,36863.856
924,How to Increase Youtube Subscribers - In 1 Minute.,4845381,195864.5
1293,Oneplus One Gaming Performance Test!,15565,97091.48
620,Huawei Mate 10 Pro REAL Review,710914,1531262.3666666667
1239,Nvidia Shield Tablet Controller vs Xbox 360 Controller!,30618,25419.839444444442
823,Amazing Holographic Wallpapers for Android!,1691042,823282.5133333333
1455,3DS XL vs Original DS - AMAZING DIFFERENCE!!,140869,316037.61111111107
571,The Best Android Launcher of 2018?,2275634,696557.9733333334
1325,Nvidia Shield: Watch Dogs Maximum Ultra Settings Gameplay,14578,265973.66833333333
951,72-Inch Portable Cinema Glasses!,76043,298287.6751111111
1179,PS Vita Freedom Wars Unboxing and First Impressions Gameplay!,7717,72902.01333333334
637,MYSTERY UNBOXING FROM ONEPLUS!!!,611829,893077.8644444444
1053,Vinovo S6 Plus Smartphone - $25 Galaxy S6 Clone - Full Review! | 4K,82186,251889.31
1022,Grow your YouTube Channel!,25077,36158.27333333333
83,The BEST Smartphones of 2022!,4779777,5121266.446666666
162,ROG Phone 5 Ultimate Unboxing - So Fast it's Funny.,5300776,4844110.606666666
1447,HTC One X Vs Samsung Galaxy S2 Full Review,14103,170254.37822222224
732,IPHONE 8 UNBOXING (CLONE)!,253081,994768.26
1119,Why You Should Buy the New 3DS XL in 2015!,106131,41217.03
367,Samsung Galaxy A80 - ROTATING CAMERA Hands-on Review!,4732174,1007524.5666666667
756,Android Customisation SECRETS!,534677,779993.0133333333
1463,NEXUS 7 REVIEW!!,2858,117230.07333333333
266,How Technology might be about to Kill us.,3340021,4351243.753888888
509,The BEASTLY 2018 Gaming Setup.,237944,246525.24
873,The Best Android Launcher of 2016?,1325866,297744.08666666667
709,Unique Android Games that will Blow your Mind  - 2017,191800,948379.4533333334
1260,Earson ER-151 Wireless Bluetooth Speaker Unboxing,3857,17450.466666666667
1304,Bluetooth Keyboard for Android - Is it Worth it?,11319,49407.46
1248,Why Nvidia Gamestream is Better Than Splashtop!,4688,279190.56666666665
121,Galaxy S22 Ultra - Samsung's FINALLY doing it.,6206897,6526401.402222222
1171,Make Your Phone Screen Bigger!!,194694,47587.02
953,Crazy Remote Controlled Levitating Ball!,14741,133426.95999999996
272,"I used a $2,500 SuperPhone - This is what happened.",5289645,1778774.8733333333
1034,Make your Smartphone Battery Last Forever - Suaoki Charger | 4K,18627,66525.46
507,The TRUTH about the OnePlus 6 - REAL Review,1126545,493228.05333333334
40,5 REAL Harry Potter Gadgets! ✨,23042115,15173055.917555552
1281,PS Vita Ratchet and Clank Trilogy vs. PSP Ratchet and Clank Size Matters Gameplay,172653,33947.13333333333
222,The Apple Master Plan.,4377858,1279738.98
930,The Best Lighter in the World?,313808,80443.295
1019,Top 5 Best Value Tech 2015 | 4K,11882,1842666.100555556
538,Huawei P20 Pro Unboxing!,751957,804422.74
395,Xiaomi Mi 9 UNBOXING!,2105012,1409222.1466666667
1002,Giant Android Gadget GIVEAWAY (International)!,12060,2380644.946666667
772,Best Budget Tech under $100 - April 2017,128086,1926495.070999306
861,Top 9 Best Games for iPhone 7,167618,500920.63333333336
825,The BEST Budget Sports Camera of 2016!,427594,131141.40444444443
1469,Razer Blackwidow Ultimate Stealth Edition Full Review,14100,28937.827592592592
699,Must Have Android Apps you didn't Know about - 2017,211993,417323.98
759,Is Xiaomi Mi6 the Fastest Phone in the World?,295327,1361217.8333333333
1387,MIND BLOWING: Galaxy S5 Destroyed by OPPO Find 7!,7859,65422.05333333334
484,Xiaomi Mi A2 UNBOXING and REVIEW!,1281113,1161614.9333333333
147,How Cryptocurrency ACTUALLY works.,7849652,495655.08
1046,My Favourite Games Of All time!,12171,214830.02
553,Does a Cheap 2018 Smartphone beat a 2013 Flagship?,1618160,422201.79333333333
104,The Samsung S22 Ultra is secretly AMAZING.,8383519,3334783.6733333333
384,I just found out how much Google knows about me...,1194460,1536217.52
1147,New Axgio Neon N2Q Android Smartphone Unboxing!,21803,42948.26666666667
269,Samsung S10 Lite & Note 10 Lite – The Confusing Truth.,2784155,2488089.2
1371,Nvidia Shield - Playing PC Games 120 Miles from home! - Remote Gamestream in Action!,196485,38696.20777777778
707,The SECRET Editing / Gaming PC.,72985,220009.19333333333
578,How to send ANY file Anywhere!,97823,65174.49111111111
98,17 WILDEST Inventions you won't believe are REAL.,5924482,8820407.47
860,Apple iPhone 7 Review,219975,1126881.98
1476,Fake Beats Earphones Review and Sound Test!,7821,320156.8377777778
576,HUAWEI P20 - THE SMARTPHONE REVOLUTION IS HERE?,416552,1468507.8533333333
271,Charging a smartphone with Light?,1011488,5320642.122777778
831,Best Budget Tech - November 2016,62274,98977.37944444444
988,Mrwhosetheboss Reviewing competition 2.0 WINNERS!,12091,24191.672592592593
562,Unboxing the First Ever Samsung Galaxy S!!,423770,745000.3666666667
1321,Beats Solo 2 (2014) Announced! - My Opinion!,2897,62895.48
280,What you didn't know about Samsung.,5992439,1926495.070999306
1216,PS Vita Update: What to Buy? + I suck at Trophies + New Games,9370,47123.416666666664
1383,Massive 3DS XL Giveaway Plus Loads of Extras!,15444,66930.84666666666
771,The Nintendo Switch is just the PS Vita done properly.,420374,33226.78333333333
480,Top 10 BEST Smartphones of 2018 so far.,328400,422715.86
343,10 Android Apps that Shocked me.,1925473,1343103.5266666666
774,Samsung Galaxy S8+ Plus - What you NEED to know!,56821,466532.75333333336
693,Bluboo S1 - The Smartphone that Glows!,211969,1288868.5333333334
811,Top 10 Best Android Apps you MUST HAVE!,616162,663697.7266666667
235,Is your Smartphone Overpriced?,1511060,5384243.462222222
1372,NEW Samsung Galaxy Note 4 - My Opinion - Best Smartphone of 2014?,299433,395511.38
545,Samsung S9 / S9+ vs Mate 10 Pro vs iPhone X Charging SPEED Test,1167024,2138465.6266666665
476,These Samsung commercials need to stop.,1727522,466864.4533333333
284,Top 20 BEST Smartphones of 2019.,3114599,3087790.966666667
819,I'M GIVING AWAY EVERYTHING!,135141,30507.84788888889
525,Huawei Mobile Cloud - The Huawei P20 Feature you didn't know about!,117334,263428.3466666667
291,Google Pixel 4 vs iPhone 11 Pro vs Samsung Note 10 Plus Camera Test Comparison!,1569897,3637798.7
408,Honor View20 is a Big Deal - Here's why,307561,505791.92592592596
557,ELEPHONE U PRO UNBOXING AND REVIEW!,666592,1193145.8466666667
616,"The End of $50,000 Smartphones?",1298043,3594914.7022222225
669,The Most Powerful Smartphone in the World - Turing Phone Cadenza Story!,1525577,815654.5355555555
208,OnePlus 7 Pro in 2020 - Wow.,2586309,5622576.255555556
297,Dear Smartphone Companies.,4120435,2016368.4
300,Huawei Mate 30 Pro vs iPhone 11 Pro Max / iPhone 11 / Samsung Note 10+ Battery Test,3617575,4212718.366666666
628,Mystery Unboxing from Logitech!,369640,1262028.022222222
549,Samsung Galaxy S9 Plus Gaming Review! (vs OnePlus 5T),257461,762708.4666666667
1180,The Best Cheap Bass Earphones Under $50 (2014-2015)!,56098,22034.333333333332
656,XIAOMI MI MIX 2 UNBOXING!,253061,1671052.5333333334
676,UmiDigi Crystal Frameless Smartphone!,178508,3572388.984444444
606,Should you buy your Smartphones Refurbished!?,1623254,272189.62
585,10 Android Apps you NEED to try in 2017 / 2018,154286,1008025.2733333333
1408,A Revolutionary New Android Launcher! Homepack Buzz Review!!,8437,22530.466666666667
551,Samsung Galaxy S9 Plus vs iPhone X,740924,2507570.3666666667
588,A Surprise Smartphone from EE!,106988,345966.22
1337,PS Vita:  Borderlands 2 vs Killzone Mercenary vs Black Ops Declassified!,114946,45222.54666666667
837,Customise your Android Smartphone!,330089,555954.8733333333
900,Mrwhosetheboss Reviewing Competition 3.0,13272,34418.727222222224
1228,Final Audio Design Heaven 4 Earphones Unboxing!,3447,7800.6466666666665
502,The Huawei P20 Pro camera can see in the Dark!,716202,2486945.6666666665
438,Xiaomi Mi 8 Pro UNBOXING!,589063,2793823.2866666666
1246,Xiaomi Redmi Note Review One Month Later (Dhgate.com),13781,511363.57
786,How to make a Website for free in 30 MINUTES (2017)!,44766,89648.73955555557
118,Unboxing a phone from Space.,8587880,6446707.24
710,Doogee BL5000 - Revolutionary Smartphone?,366265,343455.35333333333
604,6 Value for Money Tech Products you NEED to try!,98567,2122044.11
1243,PS Vita Rayman Legends vs Rayman 3 Gameboy Advance,29336,69111.83055555554
1472,My Headphone Colletion,6565,257218.43511111115
12,I bought every Nintendo Handheld EVER.,3794990,37420.76592592592
216,Google Pixel 4a Unboxing - Ridiculous.,5565708,804625.1933333334
1076,Aiwatch A8+ Full Review - Apple watch on a Budget?,72342,92983.13333333333
1191,INNORI 22400mAH High Capacity 3 USB Output Power B,2929,142194.87259259258
895,Vernee Apollo Lite Review - 10 Core MONSTER!,76301,356963.0933333333
448,Huawei Mate 20 Pro vs Pixel 3 XL vs Note 9 vs iPhone XS Max Charging Speed Test!,568649,2249975.053333333
1241,Fake iPhone 6 (Goophone i6) First Impressions Review!,37966,159202.62666666668
172,"The Truth about Xiaomi ""Air Charging""",4389622,1611912.88
1021,Lets Break a Phone Case | 4K,74756,116104.52666666667
1049,The Best Upcoming PS Vita Games 2015 - 2016!,21368,60574.426666666666
870,Best Budget Tech - September 2016!,441842,141220.96666666667
1497,Android apps of the week 2,18123,318717.0133333333
383,Mrwhosetheboss - Draw My Life - V2,971386,691299.8514338626
1445,WOW!  Samsung Galaxy Note 2 VS HTC One X FULL REVIEW,7432,87191.9285925926
736,DOOGEE MIX UNBOXING!,789093,378294.1666666667
1402,Who Said The PS Vita has no Games?,167903,144919.68
1259,Google Chromecast First Impressions Review - Is It Worth it?,2274,198817.87666666668
250,Top Smartphones of 2020?  ft. MKBHD,2303881,1183553.0233333334
397,Why OnePlus 5 is the Best Cheap 2019 Smartphone.,445299,769484.8666666667
947,Xiaomi Redmi Note 3 Review -  The Midrange Flagship.,44602,148180.30444444442
701,Facebook Tricks that EVERYONE should be using!,173184,2091790.3666666667
396,Can a $100 Smartphone Camera beat $900 Flagships?,212825,1875290.62
444,The secrets inside OnePlus HQ.,1056580,501414.2
803,"Ultimate $15,000 Gaming Setup Desk Tour 2017!",702021,386108.6
1187,PS Vita Giveaway Winner Announced!,2221,23256.671666666665
1097,My Best Headphones of 2015 - Soundmagic P30S Full Review!,6893,54416.78666666667
1237,$12 Fake Replica iPod Nano 3rd Gen 8GB Impressions - Is it worth it?,72914,248642.295
419,The Lenovo Z5 Pro GT is INSANE…BUT…,409365,1226514.4933333334
323,Asus ROG Phone 2 UNBOXING - Fastest smartphone on Earth.,3827078,1279250.562222222
501,Galaxy S10 - 8 Exciting things!,2523782,846747.3866666667
1310,Top 5 Upcoming PS Vita Games (2014-2015) HD (Part 2),38001,37580.02
44,5 ILLEGAL gadgets that will get you ARRESTED,41832371,13389696.62188889
1312,PS Vita: Fez - First Impressions Review,1466,985060.7866666666
608,Oneplus 5T vs Pixel 2 XL vs S8 vs iPhone 8 Battery Charging Speed Test!,414796,678447.4566666667
1013,Bluboo Xfire - The New Budget Smartphone King?,17478,142494.07333333333
86,Vivo X80 Pro - The King of Photography.,2510579,3244936.0755555555
277,A Battery that'll change Smartphones forever.,3169058,6126087.173333333
1221,UnikCase Custom Android Phone Case Quick Review,5665,95498.74
992,"The Land, Air and Sea Remote Controlled Quadcopter!",48158,11794.54
116,The BEST Smartphones of 2021 🔥,3993314,2275278.7466666666
679,Ulefone T1 - The Fast and Furious Smartphone?,201230,1266240.44
1212,Xiaomi Piston 2.0 Full Review - The Best Cheap Earphones Ever?,79854,146450.45333333334
247,The 2 Fastest Phones on the Planet.,10376148,4151078.1066666665
1266,NEW LG G4 - My Opinion - Best Smartphone of 2015?,267824,97428.93333333333
1162,The Best iPhone Case? - Official Floureon Recharging Battery Case Test!,3799,183955.12666666668
1089,Mrwhosetheboss OmniomegaOB Vitaboys Giveaway Winners Announced (Some...)!,9469,2151668.6733333333
1467,HOW TO GET RAY BAN-like GLASSES FOR $22!!! www.knowoutlet.com,5623,353239.4711111111
747,Is the Oneplus 5 the Fastest Phone in the World?,115643,1220958.2266666666
